"USA","California","Kings","Kettleman City","","","","","","","Loc.2423L"
"USA","California","Fresno","Kerman, 8 mi W","","","","","","","Loc.2424L"
"USA","California","Fresno","Kerman, 8 mi W","","","","","","","Loc.2425L"
"USA","California","Fresno","Cantua Creek","","36.5","-120.3","","","","Loc.2427L"
"USA","California","Fresno","Kerman, 8 mi W","","","","","","","Loc.2428L"
"USA","California","Madera","Madera, 15 mi SW","","","","","","","Loc.2431L"
"USA","California","Madera","Madera, 17 mi SW","","","","","","","Loc.2432L"
"USA","California","Fresno","Mendota, 22 mi W","","","","","","","Loc.2433L"
"USA","California","San Benito","Panoche","","","","","","","Loc.2435L"
"USA","California","Kings","Stratford, 5 mi E.","","","","","","","Loc.2436L"
"USA","California","Alameda","Livermore, 8 mi E.","","","","","","","Loc.2437L"
"USA","California","Fresno","Helm","","36.516666667","-120.083333333","","","","Loc.2438L"
"USA","California","Madera","Madera, 15 mi SW","","","","","","","Loc.2439L"
"USA","California","Stanislaus","Modesto, 10 mi W.","","","","","","","Loc.2440L"
"USA","California","Fresno","Kerman, 8 mi W","","","","","","","Loc.2442L"
"USA","California","Fresno","Oilfields","","","","","","","Loc.2443L"
"USA","California","San Luis Obispo","Atascadero, 9 mi W.","","","","","","","Loc.2444L"
"USA","California","Kern","Blackwells Corner, 19 mi W.","","35.7","-120.166666667","","","","Loc.2445L"
"USA","California","San Luis Obispo","Cholame, 6 mi E.","","35.716666667","-120.183333333","","","","Loc.2446L"
"USA","California","Madera","O’Neal’s","","","","","","","Loc.2448L"
"USA","California","Fresno","Kerman, 8 mi S","","","","","","","Loc.2449L"
"USA","California","Fresno","Piedra","","","","","","","Loc.2451L"
"USA","California","Fresno","Tollhouse","","","","","","","Loc.2452L"
"USA","California","Madera","Madera","","","","","","","Loc.2453L"
"USA","California","San Mateo","Palo Alto","","","","","","","Loc.2454L"
"USA","California","Inyo","Independence, 7 mi S.","","36.7","-118.133333333","","","","Loc.2456L"
"USA","California","Inyo","Big Pine","","37.15","-118.283333333","","","","Loc.2457L"
"USA","California","Inyo","Westgard Pass, 5 mi. N; White Mountains, Grandview Camp","2591 ","","","","","","Loc.2458L"
"USA","California","Merced","San Luis Dam","","","","","","","Loc.2459L"
"USA","California","Tulare","Cutler Park, 3 mi E Visalia","","36.316666667","-119.283333333","","","","Loc.2460L"
"USA","California","Riverside","Mecca, 15 mi S.","","","","","","","Loc.2461L"
"USA","California","Imperial","Salton City","","","","","","","Loc.2462L"
"USA","California","Kern","Bealville, 1 mi W.","","35.266666667","-118.616666667","","","","Loc.2463L"
"USA","California","Kern","Keene, 2 mi NW","762 ","35.216666667","-118.55","","","","Loc.2464L"
"USA","California","Kern","Maricopa, 11 mi S.","914 ","","","","","","Loc.2465L"
"USA","California","Kern","Maricopa, 5 mi S.","610 ","","","","","","Loc.2466L"
"USA","California","Riverside","Aguanga","","","","","","","Loc.2468L"
"USA","California","Inyo","Westgard Pass","","","","","","","Loc.2472L"
"USA","California","Contra Costa","Antioch, 1 mi E.","","38","-121.8","","","","Loc.2473L"
"USA","California","Kern","Keene, 2 mi NW","762 ","35.216666667","-118.55","","","","Loc.2474L"
"USA","California","Riverside","El Sinore","","","","","","","Loc.2475L"
"USA","California","Riverside","El Sinore","","","","","","","Loc.2476L"
"USA","California","Los Angeles","Gorman, 15 mi E.","","34.8","-118.583333333","","","","Loc.2477L"
"USA","California","Los Angeles","Gorman, 1 mi S.","","34.783333333","-118.85","","","","Loc.2478L"
"USA","Colorado","","Cactus Park, Mesa Co.","1981 ","","","","","","Loc.2479L"
"USA","Colorado","Weld","Pawnee Grassland Pasture, Nunn","","","","","","","Loc.2481L"
"USA","Colorado","Weld","Pawnee Grassland Pasture, Nunn","","","","","","","Loc.2482L"
"USA","Colorado","Weld","Pawnee Grassland Pasture, Nunn","","","","","","","Loc.2483L"
"USA","Colorado","Weld","Pawnee Grassland Pasture, Nunn","","","","","","","Loc.2484L"
"USA","Colorado","","3 km E. Jct. 128 & 93, Boulder Co.","","","","","","","Loc.2487L"
"USA","Colorado","","3 km E. Jct. 128 & 93, Boulder Co.","","","","","","","Loc.2488L"
"USA","Idaho","","Custer Co.","","","","","","","Loc.2489L"
"USA","Nevada","Clark","Searchlight, 3 mi. N.","1128 ","","","","","","Loc.2490L"
"USA","South Dakota","Stanley","Pierre, 10 mi S","","","","","","","Loc.2492L"
"USA","Utah","Uintah","Jensen, 3 mi N","1494 ","","","","","","Loc.2493L"
"USA","Wyoming","Fremont","Moneta","","","","","","","Loc.2494L"
"Brazil","Amazonas","","Manaus, Rio Tarumazinho","","","","","","","Loc.2495L"
"Brazil","Amazonas","","Praia Grande, Rio Negro","","","","","","","Loc.2496L"
"Brazil","Amazonas","","Praia Grande Rio Negro, Amazonas","","","","","","","Loc.2498L"
"Brazil","Amazonas","","Reserva Campinas, BR 174, km 44","","","","","","","Loc.2499L"
"Brazil","Amazonas","","Reserva Campinas, BR 174, km 44","","","","","","","Loc.2502L"
"Brazil","Amazonas","","Reserva Campinas, BR 174, km 44","","","","","","","Loc.2504L"
"Brazil","Amazonas","","Reserva Campinas, BR 174, km 44","","","","","","","Loc.2506L"
"Brazil","Pará","","de Mathan","","","","","","","Loc.2507L"
"Brazil","Pará","","Cachimbo","","","","","","","Loc.2508L"
"Brazil","Pará","","Cachimbo","","","","","","","Loc.2509L"
"Brazil","Pará","","Cachimbo","","","","","","","Loc.2510L"
"Brazil","Pará","","Belem, Bosque Rodriguez Alves","","","","","","","Loc.2511L"
"Colombia","Valle del Cauca","","Buenaventura, 30 km E","","","","","","","Loc.2512L"
"Venezuela","Amazonas","","Carlos de Rio Negro, 3-5 km E","","","","","","","Loc.2514L"
"Mexico","Michoacan","","Playa Azul, 31 km N","","","","","","","Loc.2516L"
"Mexico","Michoacan","","Playa Azul, 42 km N","","","","","","","Loc.2517L"
"USA","Arizona","Cochise","Cave Creek Canyon, Sunny Flat Cp., Chiricahua Mountains","","","","","","","Loc.2519L"
"USA","Arizona","Cochise","Bisbee, 2 mi NW","","","","","","","Loc.2523L"
"Venezuela","Barinas","","Barinas","","","","","","","Loc.2524L"
"Venezuela","Lara","","Barinitas","","","","","","","Loc.2525L"
"Panama","Panamá","","El Cermeño","","","","","","","Loc.2526L"
"Panama","Panamá","","Fort Clayton, Canal Zone","","","","","","","Loc.2527L"
"Panama","Panamá","","Summit","","","","","","","Loc.2528L"
"Panama","Panamá","","Barro Colorado Island","","","","","","","Loc.2534L"
"Panama","Panamá","","Barro Colorado Island","","","","","","","Loc.2536L"
"Venezuela","Aragua","","Ocumare de la Costa, 2km N","","","","","","","Loc.2537L"
"Venezuela","Carabobo","","Chirgua, Carabobo","","","","","","","Loc.2539L"
"Venezuela","Falcón","","Sierra San Luís","","","","","","","Loc.2541L"
"Venezuela","Falcón","","Cerro Galicia","","","","","","","Loc.2542L"
"Venezuela","Falcón","","Curimagua","1000 ","","","","","","Loc.2544L"
"Venezuela","Portuguesa","","Sistema Riego Las Malapuas, Potuguesa","","","","","","","Loc.2545L"
"Belize","Belize","","Manatee District","","","","","","","Loc.2547L"
"Belize","Belize","","Manatee District","","","","","","","Loc.2548L"
"Belize","Belize","","Manatee district","","","","","","","Loc.2549L"
"Belize","Belize","","Manatee District","","","","","","","Loc.2550L"
"Mexico","Nayarit","","Acaponeta, 9 mi S","","","","","","","Loc.2552L"
"Mexico","Nayarit","","Acaponeta, 29 mi. S ","","","","","","","Loc.2553L"
"Mexico","Nayarit","","Acaponeta","","","","","","","Loc.2554L"
"Mexico","Nayarit","","Tepic, 12 mi NW","","","","","","","Loc.2556L"
"Brazil","Amazonas","","Manaus","","-3.18","-60.02","15km","","","Loc.2561L"
"Brazil","Amazonas","","Praia Grande Rio Negro, Amazonas","","","","","","","Loc.2564L"
"Brazil","Amazonas","","Reserva Campinas, BR 174, km 44","","","","","","","Loc.2567L"
"Brazil","Amazonas","","Reserva Campinas, BR 174, km 44","","","","","","","Loc.2568L"
"Brazil","Amazonas","","Reserva Campinas, BR 174, km 44","","","","","","","Loc.2570L"
